,same_affordance_type,same_data_type,same_enum,same_properties,weak_equal,strong_equal,src_affordance_type,src_attribute_type,dest_affordance_type,dest_attribute_type
108,True,True,True,True,True,True,action,boolean,action,boolean
109,True,True,True,True,True,True,action,boolean,action,boolean
110,False,True,True,True,True,False,action,integer,property,integer
111,False,True,True,True,True,False,action,integer,property,integer
112,False,True,True,True,True,False,action,integer,property,integer
113,False,True,True,True,True,False,action,integer,property,integer
114,False,True,True,True,True,False,action,integer,property,integer
115,True,True,True,True,True,True,property,string,property,string
116,True,True,True,True,True,True,property,string,property,string
117,True,True,True,True,True,True,property,string,property,string
118,True,True,True,True,True,True,property,string,property,string
119,True,True,True,True,True,True,property,string,property,string
120,True,True,True,True,True,True,property,boolean,property,boolean
121,True,True,True,True,True,True,property,boolean,property,boolean
122,True,True,True,True,True,True,property,boolean,property,boolean
123,True,True,True,True,True,True,property,boolean,property,boolean
124,True,True,True,True,True,True,property,boolean,property,boolean
125,False,True,True,True,True,False,event,string,property,string
126,False,True,True,True,True,False,event,string,property,string
127,False,True,True,True,True,False,event,string,property,string
128,False,True,True,True,True,False,event,string,property,string
129,False,True,True,True,True,False,event,string,property,string
130,True,True,True,True,True,True,action,string,action,string
131,True,True,True,True,True,True,action,string,action,string
132,True,True,True,True,True,True,action,string,action,string
133,True,True,True,True,True,True,action,string,action,string
134,True,True,True,True,True,True,action,string,action,string
135,True,True,True,True,True,True,action,number,action,number
136,True,True,True,True,True,True,action,number,action,number
137,True,True,True,True,True,True,action,number,action,number
138,True,True,True,True,True,True,action,number,action,number
139,True,True,True,True,True,True,action,number,action,number
140,True,True,True,True,True,True,property,string,property,string
141,True,True,True,True,True,True,property,string,property,string
142,True,True,True,True,True,True,property,string,property,string
143,True,True,True,True,True,True,property,string,property,string
144,True,True,True,True,True,True,property,string,property,string
145,True,True,True,True,True,True,property,integer,property,integer
146,True,True,True,True,True,True,property,integer,property,integer
147,True,True,True,True,True,True,property,integer,property,integer
148,True,True,True,True,True,True,property,integer,property,integer
149,True,True,True,True,True,True,property,integer,property,integer
150,False,True,True,True,True,False,event,integer,property,integer
151,False,True,True,True,True,False,event,integer,property,integer
152,False,True,True,True,True,False,event,integer,property,integer
153,False,True,True,True,True,False,event,integer,property,integer
154,False,True,True,True,True,False,event,integer,property,integer
155,False,True,True,True,True,False,event,integer,property,integer
156,False,True,True,True,True,False,event,integer,property,integer
157,False,True,True,True,True,False,event,integer,property,integer
158,False,True,True,True,True,False,event,integer,property,integer
159,False,True,True,True,True,False,event,integer,property,integer
160,True,True,True,True,True,True,action,integer,action,integer
161,True,True,True,True,True,True,action,integer,action,integer
162,True,True,True,True,True,True,action,integer,action,integer
163,True,True,True,True,True,True,action,integer,action,integer
164,True,True,True,True,True,True,action,integer,action,integer
165,True,True,True,True,True,True,action,integer,action,integer
166,True,True,True,True,True,True,action,integer,action,integer
167,True,True,True,True,True,True,action,integer,action,integer
168,True,True,True,True,True,True,action,integer,action,integer
169,True,True,True,True,True,True,action,integer,action,integer
170,True,True,True,True,True,True,action,string,action,string
171,True,True,True,True,True,True,action,string,action,string
172,True,True,True,True,True,True,action,string,action,string
173,True,True,True,True,True,True,action,string,action,string
174,True,True,True,True,True,True,action,string,action,string
175,True,True,True,True,True,True,action,string,action,string
176,True,True,True,True,True,True,action,string,action,string
177,True,True,True,True,True,True,action,string,action,string
178,True,True,True,True,True,True,action,string,action,string
179,True,True,True,True,True,True,action,string,action,string
180,True,True,True,True,True,True,property,string,property,string
181,True,True,True,True,True,True,property,string,property,string
182,True,True,True,True,True,True,property,string,property,string
183,True,True,True,True,True,True,property,string,property,string
184,True,True,True,True,True,True,property,string,property,string
185,True,True,True,True,True,True,property,string,property,string
186,True,True,True,True,True,True,property,string,property,string
187,True,True,True,True,True,True,property,string,property,string
188,True,True,True,True,True,True,property,string,property,string
189,True,True,True,True,True,True,property,string,property,string
190,True,True,True,True,True,True,property,string,property,string
191,True,True,True,True,True,True,property,string,property,string
192,True,True,True,True,True,True,property,string,property,string
193,True,True,True,True,True,True,property,string,property,string
194,True,True,True,True,True,True,property,string,property,string
195,True,True,True,True,True,True,property,integer,property,integer
196,True,True,True,True,True,True,property,integer,property,integer
197,True,True,True,True,True,True,property,integer,property,integer
198,True,True,True,True,True,True,property,integer,property,integer
199,True,True,True,True,True,True,property,integer,property,integer
200,False,True,True,True,True,False,event,null,property,null
201,False,True,True,True,True,False,event,null,property,null
202,False,True,True,True,True,False,event,null,property,null
203,False,True,True,True,True,False,event,null,property,null
204,False,True,True,True,True,False,event,null,property,null
205,True,True,True,True,True,True,action,integer,action,integer
206,True,True,True,True,True,True,action,integer,action,integer
207,False,True,True,True,True,False,action,integer,property,integer
208,True,True,True,True,True,True,action,integer,action,integer
209,False,True,True,True,True,False,action,integer,property,integer
210,True,True,True,True,True,True,action,string,action,string
211,True,True,True,True,True,True,action,string,action,string
212,True,True,True,True,True,True,action,string,action,string
213,True,True,True,True,True,True,action,string,action,string
214,True,True,True,True,True,True,action,string,action,string
215,True,True,True,True,True,True,action,string,action,string
216,True,True,True,True,True,True,action,string,action,string
217,True,True,True,True,True,True,action,string,action,string
218,True,True,True,True,True,True,action,string,action,string
219,True,True,True,True,True,True,action,string,action,string
220,True,True,True,True,True,True,property,string,property,string
221,True,True,True,True,True,True,property,string,property,string
222,True,True,True,True,True,True,property,string,property,string
223,True,True,True,True,True,True,property,string,property,string
224,True,True,True,True,True,True,property,string,property,string
225,True,True,True,True,True,True,property,string,property,string
226,True,True,True,True,True,True,property,string,property,string
227,True,True,True,True,True,True,property,string,property,string
228,True,True,True,True,True,True,property,string,property,string
229,True,True,True,True,True,True,property,string,property,string
230,False,True,True,True,True,False,event,integer,property,integer
231,False,True,True,True,True,False,event,integer,property,integer
232,False,True,True,True,True,False,event,integer,property,integer
233,False,True,True,True,True,False,event,integer,property,integer
234,False,True,True,True,True,False,event,integer,property,integer
235,False,True,True,True,True,False,event,string,property,string
236,False,True,True,True,True,False,event,string,property,string
237,False,True,True,True,True,False,event,string,property,string
238,False,True,True,True,True,False,event,string,property,string
239,False,True,True,True,True,False,event,string,property,string
240,True,True,True,True,True,True,action,integer,action,integer
241,True,True,True,True,True,True,action,integer,action,integer
242,True,False,True,True,False,False,action,integer,action,number
243,True,True,True,True,True,True,action,integer,action,integer
244,True,True,True,True,True,True,action,integer,action,integer
245,True,True,True,True,True,True,property,string,property,string
246,True,True,True,True,True,True,property,string,property,string
247,True,True,True,True,True,True,property,string,property,string
248,True,True,True,True,True,True,property,string,property,string
249,True,True,True,True,True,True,property,string,property,string
250,True,True,True,True,True,True,property,integer,property,integer
251,True,True,True,True,True,True,property,integer,property,integer
252,True,True,True,True,True,True,property,integer,property,integer
253,True,True,True,True,True,True,property,integer,property,integer
254,True,True,True,True,True,True,property,integer,property,integer
255,True,True,True,True,True,True,property,integer,property,integer
256,True,True,True,True,True,True,property,integer,property,integer
257,True,True,True,True,True,True,property,integer,property,integer
258,True,False,True,True,False,False,property,integer,property,number
259,True,True,True,True,True,True,property,integer,property,integer
260,False,True,True,True,True,False,event,string,property,string
261,False,True,True,True,True,False,event,string,property,string
262,False,True,True,True,True,False,event,string,property,string
263,False,True,True,True,True,False,event,string,property,string
264,False,True,True,True,True,False,event,string,property,string
265,True,True,True,True,True,True,action,boolean,action,boolean
266,True,True,True,True,True,True,action,boolean,action,boolean
267,True,True,True,True,True,True,action,boolean,action,boolean
268,True,True,True,True,True,True,action,boolean,action,boolean
269,True,True,True,True,True,True,action,boolean,action,boolean
270,True,True,True,True,True,True,action,boolean,action,boolean
271,True,True,True,True,True,True,action,boolean,action,boolean
272,True,True,True,True,True,True,action,boolean,action,boolean
273,True,True,True,True,True,True,action,boolean,action,boolean
274,True,True,True,True,True,True,action,boolean,action,boolean
275,True,True,True,True,True,True,action,boolean,action,boolean
276,True,True,True,True,True,True,action,boolean,action,boolean
277,True,True,True,True,True,True,action,boolean,action,boolean
278,True,True,True,True,True,True,action,boolean,action,boolean
279,True,True,True,True,True,True,action,boolean,action,boolean
280,True,True,True,True,True,True,property,string,property,string
281,True,True,True,True,True,True,property,string,property,string
282,True,True,True,True,True,True,property,string,property,string
283,True,True,True,True,True,True,property,string,property,string
284,True,True,True,True,True,True,property,string,property,string
285,True,True,True,True,True,True,action,object,action,object
286,True,True,True,True,True,True,action,object,action,object
287,True,True,True,True,True,True,action,object,action,object
288,True,True,True,True,True,True,action,object,action,object
289,True,True,True,True,True,True,action,object,action,object
290,False,True,True,True,True,False,action,boolean,property,boolean
291,False,True,True,True,True,False,action,boolean,property,boolean
292,False,True,True,True,True,False,action,boolean,property,boolean
293,False,True,True,True,True,False,action,boolean,property,boolean
294,True,True,True,True,True,True,action,boolean,action,boolean
295,False,True,True,True,True,False,action,integer,property,integer
296,False,True,True,True,True,False,action,integer,property,integer
297,False,True,True,True,True,False,action,integer,property,integer
298,True,True,True,True,True,True,action,integer,action,integer
299,False,True,True,True,True,False,action,integer,property,integer
300,True,True,True,True,True,True,property,string,property,string
301,True,True,True,True,True,True,property,string,property,string
302,True,True,True,True,True,True,property,string,property,string
303,True,True,True,True,True,True,property,string,property,string
304,True,True,True,True,True,True,property,string,property,string
305,True,True,True,True,True,True,property,number,property,number
306,True,True,True,True,True,True,property,number,property,number
307,True,True,True,True,True,True,property,number,property,number
308,True,True,True,True,True,True,property,number,property,number
309,True,True,True,True,True,True,property,number,property,number
310,False,True,True,True,True,False,event,null,property,null
311,False,True,True,True,True,False,event,null,property,null
312,False,True,True,True,True,False,event,null,property,null
313,False,True,True,True,True,False,event,null,property,null
314,False,True,True,True,True,False,event,null,property,null
315,True,True,True,True,True,True,action,string,action,string
316,True,True,True,True,True,True,action,string,action,string
317,True,True,False,True,False,False,action,string,action,string
318,True,True,False,True,False,False,action,string,action,string
319,True,True,True,True,True,True,action,string,action,string
320,True,True,True,True,True,True,action,number,action,number
321,True,True,True,True,True,True,action,number,action,number
322,True,True,True,True,True,True,action,number,action,number
323,False,True,True,True,True,False,action,number,property,number
324,False,True,True,True,True,False,action,number,property,number
325,True,True,True,True,True,True,property,string,property,string
326,True,True,True,True,True,True,property,string,property,string
327,True,True,True,True,True,True,property,string,property,string
328,True,True,True,True,True,True,property,string,property,string
329,True,True,True,True,True,True,property,string,property,string
330,True,True,True,True,True,True,property,object,property,object
331,True,True,True,True,True,True,property,object,property,object
332,True,True,True,True,True,True,property,object,property,object
333,True,True,True,True,True,True,property,object,property,object
334,True,True,True,True,True,True,property,object,property,object
335,True,True,True,True,True,True,property,number,property,number
336,True,True,True,True,True,True,property,number,property,number
337,True,True,True,True,True,True,property,number,property,number
338,True,True,True,True,True,True,property,number,property,number
339,True,True,True,True,True,True,property,number,property,number
340,True,True,True,True,True,True,property,number,property,number
341,True,True,True,True,True,True,property,number,property,number
342,True,True,True,True,True,True,property,number,property,number
343,True,True,True,True,True,True,property,number,property,number
344,True,True,True,True,True,True,property,number,property,number
345,True,True,True,True,True,True,property,number,property,number
346,True,True,True,True,True,True,property,number,property,number
347,True,True,True,True,True,True,property,number,property,number
348,True,True,True,True,True,True,property,number,property,number
349,True,True,True,True,True,True,property,number,property,number
350,True,True,True,True,True,True,property,number,property,number
351,True,True,True,True,True,True,property,number,property,number
352,True,True,True,True,True,True,property,number,property,number
353,True,True,True,True,True,True,property,number,property,number
354,True,True,True,True,True,True,property,number,property,number
355,True,True,True,True,True,True,property,string,property,string
356,True,True,True,True,True,True,property,string,property,string
357,True,True,True,True,True,True,property,string,property,string
358,True,True,True,True,True,True,property,string,property,string
359,True,True,True,True,True,True,property,string,property,string
360,True,True,True,True,True,True,property,object,property,object
361,True,True,True,True,True,True,property,object,property,object
362,True,True,True,True,True,True,property,object,property,object
363,True,True,True,True,True,True,property,object,property,object
364,True,True,True,True,True,True,property,object,property,object
365,True,True,True,False,False,False,property,object,property,object
366,True,True,True,False,False,False,property,object,property,object
367,True,True,True,False,False,False,property,object,property,object
368,True,True,True,False,False,False,property,object,property,object
369,True,True,True,False,False,False,property,object,property,object
370,True,True,True,True,True,True,property,string,property,string
371,True,True,True,True,True,True,property,string,property,string
372,True,True,True,True,True,True,property,string,property,string
373,True,True,True,True,True,True,property,string,property,string
374,True,True,True,True,True,True,property,string,property,string
375,True,True,True,True,True,True,property,object,property,object
376,True,True,True,True,True,True,property,object,property,object
377,True,True,True,True,True,True,property,object,property,object
378,True,True,True,True,True,True,property,object,property,object
379,True,True,True,True,True,True,property,object,property,object
380,True,True,True,True,True,True,property,number,property,number
381,True,True,True,True,True,True,property,number,property,number
382,True,True,True,True,True,True,property,number,property,number
383,True,True,True,True,True,True,property,number,property,number
384,True,True,True,True,True,True,property,number,property,number
385,True,True,True,True,True,True,property,number,property,number
386,True,True,True,True,True,True,property,number,property,number
387,True,True,True,True,True,True,property,number,property,number
388,True,True,True,True,True,True,property,number,property,number
389,True,True,True,True,True,True,property,number,property,number
390,True,True,True,True,True,True,property,number,property,number
391,True,True,True,True,True,True,property,number,property,number
392,True,True,True,True,True,True,property,number,property,number
393,True,True,True,True,True,True,property,number,property,number
394,True,True,True,True,True,True,property,number,property,number
395,False,True,True,True,True,False,event,boolean,property,boolean
396,False,True,True,True,True,False,event,boolean,property,boolean
397,False,True,True,True,True,False,event,boolean,property,boolean
398,False,True,True,True,True,False,event,boolean,property,boolean
399,False,True,True,True,True,False,event,boolean,property,boolean
400,False,True,True,True,True,False,event,null,property,null
401,False,True,True,True,True,False,event,null,property,null
402,False,True,True,True,True,False,event,null,property,null
403,False,True,True,True,True,False,event,null,property,null
404,False,True,True,True,True,False,event,null,property,null
405,True,True,True,True,True,True,action,string,action,string
406,True,True,True,True,True,True,action,string,action,string
407,True,True,True,True,True,True,action,string,action,string
408,True,True,True,True,True,True,action,string,action,string
409,True,True,True,True,True,True,action,string,action,string
410,True,True,True,False,False,False,property,object,property,object
411,True,True,True,False,False,False,property,object,property,object
412,True,True,True,False,False,False,property,object,property,object
413,True,True,True,False,False,False,property,object,property,object
414,True,True,True,False,False,False,property,object,property,object
415,True,True,True,True,True,True,property,number,property,number
416,True,True,True,True,True,True,property,number,property,number
417,True,True,True,True,True,True,property,number,property,number
418,True,True,True,True,True,True,property,number,property,number
419,True,True,True,True,True,True,property,number,property,number
420,True,True,True,True,True,True,property,number,property,number
421,True,True,True,True,True,True,property,number,property,number
422,True,True,True,True,True,True,property,number,property,number
423,True,True,True,True,True,True,property,number,property,number
424,True,True,True,True,True,True,property,number,property,number
425,True,True,True,True,True,True,property,string,property,string
426,True,True,True,True,True,True,property,string,property,string
427,True,True,True,True,True,True,property,string,property,string
428,True,True,True,True,True,True,property,string,property,string
429,True,True,True,True,True,True,property,string,property,string
430,True,True,False,True,False,False,event,string,event,string
431,True,True,False,True,False,False,event,string,event,string
432,True,True,False,True,False,False,event,string,event,string
433,True,True,True,True,True,True,event,string,event,string
434,True,True,True,True,True,True,event,string,event,string
435,True,True,False,True,False,False,event,string,event,string
436,True,True,False,True,False,False,event,string,event,string
437,True,True,False,True,False,False,event,string,event,string
438,True,True,False,True,False,False,event,string,event,string
439,True,True,False,True,False,False,event,string,event,string
440,True,True,True,True,True,True,action,boolean,action,boolean
441,True,True,True,True,True,True,action,boolean,action,boolean
442,True,True,True,True,True,True,action,boolean,action,boolean
443,True,True,True,True,True,True,action,boolean,action,boolean
444,True,True,True,True,True,True,action,boolean,action,boolean
445,True,True,True,True,True,True,action,boolean,action,boolean
446,True,True,True,True,True,True,action,boolean,action,boolean
447,True,True,True,True,True,True,action,boolean,action,boolean
448,True,True,True,True,True,True,action,boolean,action,boolean
449,True,True,True,True,True,True,action,boolean,action,boolean
450,True,True,True,True,True,True,property,boolean,property,boolean
451,True,True,True,True,True,True,property,boolean,property,boolean
452,True,True,True,True,True,True,property,boolean,property,boolean
453,True,True,True,True,True,True,property,boolean,property,boolean
454,True,True,True,True,True,True,property,boolean,property,boolean
455,True,True,True,True,True,True,property,object,property,object
456,True,True,True,True,True,True,property,object,property,object
457,True,True,True,True,True,True,property,object,property,object
458,True,True,True,True,True,True,property,object,property,object
459,True,True,True,True,True,True,property,object,property,object
460,True,True,True,True,True,True,event,null,event,null
461,True,True,True,True,True,True,event,null,event,null
462,True,True,True,True,True,True,event,null,event,null
463,True,True,True,True,True,True,event,null,event,null
464,True,True,True,True,True,True,event,null,event,null
465,False,True,True,True,True,False,action,object,property,object
466,False,True,True,True,True,False,action,object,property,object
467,False,True,True,True,True,False,action,object,property,object
468,False,True,True,True,True,False,action,object,property,object
469,False,True,True,True,True,False,action,object,property,object
470,True,True,True,True,True,True,property,string,property,string
471,True,True,True,True,True,True,property,string,property,string
472,True,True,True,True,True,True,property,string,property,string
473,True,True,True,True,True,True,property,string,property,string
474,True,True,True,True,True,True,property,string,property,string
475,True,True,True,True,True,True,property,integer,property,integer
476,True,True,True,True,True,True,property,integer,property,integer
477,True,True,True,True,True,True,property,integer,property,integer
478,True,True,True,True,True,True,property,integer,property,integer
479,True,True,True,True,True,True,property,integer,property,integer
480,False,True,True,True,True,False,event,null,property,null
481,False,True,True,True,True,False,event,null,property,null
482,False,True,True,True,True,False,event,null,property,null
483,False,True,True,True,True,False,event,null,property,null
484,False,True,True,True,True,False,event,null,property,null
485,False,True,True,True,True,False,event,null,property,null
486,False,True,True,True,True,False,event,null,property,null
487,False,True,True,True,True,False,event,null,property,null
488,False,True,True,True,True,False,event,null,property,null
489,False,True,True,True,True,False,event,null,property,null
490,True,True,True,True,True,True,action,string,action,string
491,True,True,True,True,True,True,action,string,action,string
492,True,True,True,True,True,True,action,string,action,string
493,True,True,True,True,True,True,action,string,action,string
494,True,True,True,True,True,True,action,string,action,string
495,False,True,True,True,True,False,action,boolean,property,boolean
496,False,True,True,True,True,False,action,boolean,property,boolean
497,False,True,True,True,True,False,action,boolean,property,boolean
498,False,True,True,True,True,False,action,boolean,property,boolean
499,False,True,True,True,True,False,action,boolean,property,boolean
500,True,True,True,True,True,True,property,string,property,string
501,True,True,True,True,True,True,property,string,property,string
502,True,True,True,True,True,True,property,string,property,string
503,True,True,True,True,True,True,property,string,property,string
504,True,True,True,True,True,True,property,string,property,string
505,True,True,True,True,True,True,event,string,event,string
506,True,True,True,True,True,True,event,string,event,string
507,True,True,True,True,True,True,event,string,event,string
508,True,True,True,True,True,True,event,string,event,string
509,True,True,True,True,True,True,event,string,event,string
510,False,True,True,True,True,False,event,string,property,string
511,False,True,True,True,True,False,event,string,property,string
512,False,True,True,True,True,False,event,string,property,string
513,False,True,True,True,True,False,event,string,property,string
514,False,True,True,True,True,False,event,string,property,string
515,True,True,True,True,True,True,action,string,action,string
516,True,True,True,True,True,True,action,string,action,string
517,True,True,True,True,True,True,action,string,action,string
518,True,True,True,True,True,True,action,string,action,string
519,True,True,True,True,True,True,action,string,action,string
520,True,True,True,True,True,True,property,number,property,number
521,True,True,True,True,True,True,property,number,property,number
522,True,True,True,True,True,True,property,number,property,number
523,True,True,True,True,True,True,property,number,property,number
524,True,True,True,True,True,True,property,number,property,number
525,True,True,True,True,True,True,property,number,property,number
526,True,True,True,True,True,True,property,number,property,number
527,True,True,True,True,True,True,property,number,property,number
528,True,True,True,True,True,True,property,number,property,number
529,True,True,True,True,True,True,property,number,property,number
530,True,True,True,True,True,True,property,boolean,property,boolean
531,True,True,True,True,True,True,property,boolean,property,boolean
532,True,True,True,True,True,True,property,boolean,property,boolean
533,True,True,True,True,True,True,property,boolean,property,boolean
534,True,True,True,True,True,True,property,boolean,property,boolean
535,True,True,True,True,True,True,event,string,event,string
536,True,True,True,True,True,True,event,string,event,string
537,True,True,True,True,True,True,event,string,event,string
538,True,True,True,True,True,True,event,string,event,string
539,True,True,True,True,True,True,event,string,event,string
540,True,True,True,True,True,True,action,null,action,null
541,True,True,True,True,True,True,action,null,action,null
542,True,True,True,True,True,True,action,null,action,null
543,True,True,True,True,True,True,action,null,action,null
544,True,True,True,True,True,True,action,null,action,null
545,True,True,True,True,True,True,action,null,action,null
546,True,True,True,True,True,True,action,null,action,null
547,True,True,True,True,True,True,action,null,action,null
548,True,True,True,True,True,True,action,null,action,null
549,True,True,True,True,True,True,action,null,action,null
550,True,True,True,True,True,True,property,number,property,number
551,True,True,True,True,True,True,property,number,property,number
552,True,True,True,True,True,True,property,number,property,number
553,True,True,True,True,True,True,property,number,property,number
554,True,True,True,True,True,True,property,number,property,number
555,True,True,True,True,True,True,property,boolean,property,boolean
556,True,True,True,True,True,True,property,boolean,property,boolean
557,True,True,True,True,True,True,property,boolean,property,boolean
558,True,True,True,True,True,True,property,boolean,property,boolean
559,True,True,True,True,True,True,property,boolean,property,boolean
560,True,True,True,True,True,True,property,null,property,null
561,True,True,True,True,True,True,property,null,property,null
562,True,True,True,True,True,True,property,null,property,null
563,True,True,True,True,True,True,property,null,property,null
564,True,True,True,True,True,True,property,null,property,null
565,True,True,True,True,True,True,property,string,property,string
566,True,True,True,True,True,True,property,string,property,string
567,True,True,True,True,True,True,property,string,property,string
568,True,True,True,True,True,True,property,string,property,string
569,True,True,True,True,True,True,property,string,property,string
570,True,True,True,True,True,True,property,string,property,string
571,True,True,True,True,True,True,property,string,property,string
572,True,True,True,True,True,True,property,string,property,string
573,True,True,True,True,True,True,property,string,property,string
574,True,True,True,True,True,True,property,string,property,string
575,True,True,True,True,True,True,property,string,property,string
576,True,True,True,True,True,True,property,string,property,string
577,True,True,True,True,True,True,property,string,property,string
578,True,True,True,True,True,True,property,string,property,string
579,True,True,True,True,True,True,property,string,property,string
580,True,True,True,True,True,True,property,number,property,number
581,True,True,True,True,True,True,property,number,property,number
582,True,True,True,True,True,True,property,number,property,number
583,True,True,True,True,True,True,property,number,property,number
584,True,True,True,True,True,True,property,number,property,number
585,True,True,True,True,True,True,property,string,property,string
586,True,True,True,True,True,True,property,string,property,string
587,True,True,True,True,True,True,property,string,property,string
588,True,True,True,True,True,True,property,string,property,string
589,True,True,True,True,True,True,property,string,property,string
590,True,True,True,True,True,True,property,number,property,number
591,True,True,True,True,True,True,property,number,property,number
592,True,True,True,True,True,True,property,number,property,number
593,True,True,True,True,True,True,property,number,property,number
594,True,True,True,True,True,True,property,number,property,number
595,True,True,True,True,True,True,property,boolean,property,boolean
596,True,True,True,True,True,True,property,boolean,property,boolean
597,True,True,True,True,True,True,property,boolean,property,boolean
598,True,True,True,True,True,True,property,boolean,property,boolean
599,True,True,True,True,True,True,property,boolean,property,boolean
600,True,True,True,True,True,True,property,boolean,property,boolean
601,True,True,True,True,True,True,property,boolean,property,boolean
602,True,True,True,True,True,True,property,boolean,property,boolean
603,True,True,True,True,True,True,property,boolean,property,boolean
604,True,True,True,True,True,True,property,boolean,property,boolean
605,True,True,True,True,True,True,property,number,property,number
606,True,True,True,True,True,True,property,number,property,number
607,True,True,True,True,True,True,property,number,property,number
